ds_id,range_min,range_max
2024-02-29_14h42m04s,100.0,170.0
2024-02-29_15h19m51s,100.0,1700.0000000000002
2024-02-29_13h56m24s,100.0,1700.0
2024-02-29_14h05m31s,100.0,1700.0
2024-02-29_14h35m49s,100.0,1700.0000000000002
2024-02-29_14h11m21s,100.0,1700.0
2024-02-28_03h45m28s,70.00174713134766,1049.9976806640625
2024-02-21_07h54m20s,246.190814,1199.592333
2024-02-21_07h52m31s,246.190496,1199.592333
2024-02-21_07h50m59s,202.798053,1099.289563
2024-02-21_07h51m52s,246.191023,1199.589812
2024-02-21_07h50m30s,202.798053,1099.654267
2024-02-21_07h46m37s,246.191023,1199.509272
2024-02-21_07h48m49s,202.7974,1099.289563
2024-02-21_07h47m06s,246.191132,1199.486686
2024-02-20_01h54m41s,114.926502,999.910634
2024-02-20_01h53m31s,104.046581,999.951826
2024-02-20_01h49m35s,112.985765,999.910634
2024-02-20_01h48m46s,104.046841,999.961698
2024-02-20_01h46m58s,104.046979,999.961698
2024-02-20_01h46m10s,102.027198,999.948932
2024-02-20_01h45m20s,102.027198,999.961698
2024-02-20_01h44m07s,104.047118,999.961698
2024-02-20_01h43m24s,104.047118,999.961698
2024-02-20_01h42m42s,115.00387,1197.907144
2024-02-20_01h41m56s,102.027331,999.961698
2024-02-20_01h40m11s,102.027198,999.961698
2024-02-20_01h38m59s,102.027198,999.961698
2024-02-19_05h43m55s,104.047256,999.948932
2024-02-19_05h42m55s,104.047394,999.961698
2024-02-19_05h36m42s,111.00884,1199.881829
2024-02-19_05h21m14s,103.724492,1199.88892
2024-02-19_05h12m47s,109.601765,999.961698
2024-02-19_05h02m33s,104.047028,1199.623384
2024-02-19_04h23m32s,102.027265,1199.116023
2024-02-15_23h57m39s,70.00074005126953,699.5241088867188
2024-02-15_23h49m27s,70.00069427490234,699.5155029296875
2024-02-15_23h44m05s,70.0007095336914,699.5016479492188
2024-02-15_23h42m14s,70.0008316040039,699.55517578125
2024-02-15_23h39m51s,70.00070190429688,699.5558471679688
2024-02-15_23h34m11s,70.00070190429688,699.5009155273438
