hmdb_primary,polar_surface_area,polarizability
HMDB0000608,0.0,1.78
HMDB0000609,103.78,19.08
HMDB0000610,26.3,85.97
HMDB0000611,206.56,73.86
HMDB0000613,97.99,11.68
HMDB0000614,171.68,88.45
HMDB0000617,50.44,9.8
HMDB0000618,144.52,17.95
HMDB0000619,97.99,47.05
HMDB0000620,74.6,11.36
HMDB0000621,90.15,13.38
HMDB0000622,74.6,11.98
HMDB0000623,74.6,26.85
HMDB0000624,57.53,13.71
HMDB0000625,138.45,17.15
HMDB0000626,77.76,46.3
HMDB0000628,37.3,33.93
HMDB0000629,NA,NA
HMDB0000630,67.48,9.88
HMDB0000631,106.86,52.11
HMDB0000632,NA,NA
HMDB0000633,132.66,22.36
HMDB0000634,74.6,11.17
HMDB0000635,71.44,15.07
HMDB0000637,106.86,52.12
HMDB0000638,37.3,25.85
HMDB0000639,155.52,16.99
HMDB0000640,79.15,14.13
HMDB0000641,106.41,13.87
HMDB0000642,57.53,11.76
HMDB0000643,206.56,74.04
HMDB0000644,206.56,73.95
HMDB0000645,156.91,20.62
HMDB0000646,90.15,13.37
HMDB0000648,145.63,54.48
HMDB0000649,20.23,54.39
HMDB0000650,63.32,10.38
HMDB0000651,66.43,37.57
HMDB0000652,NA,NA
HMDB0000653,63.6,56.55
HMDB0000656,222.14,40.45
HMDB0000657,0.0,1.78
HMDB0000658,26.3,82.59
HMDB0000659,164.5,57.33
HMDB0000660,110.38,16.26
HMDB0000661,74.6,12.17
HMDB0000662,0.0,0.44
HMDB0000663,155.52,16.8
HMDB0000664,77.76,46.63
HMDB0000665,57.53,13.65
HMDB0000666,37.3,15.33
HMDB0000667,92.78,27.72
HMDB0000668,172.42,69.32
HMDB0000669,57.53,14.61
HMDB0000670,125.22,20.04
HMDB0000671,73.32,20.7
HMDB0000672,74.6,35.37
HMDB0000673,37.3,35.86
HMDB0000674,119.36,80.08
HMDB0000675,0.0,10.18
HMDB0000676,126.64,26.92
HMDB0000678,66.4,16.4
HMDB0000679,118.44,19.49
HMDB0000682,79.39,19.37
HMDB0000683,169.26,69.91
HMDB0000684,106.41,20.59
HMDB0000686,77.76,46.72
HMDB0000687,63.32,14.16
HMDB0000688,66.43,26.69
HMDB0000689,37.3,13.06
HMDB0000691,74.6,8.13
HMDB0000692,0.0,1.78
HMDB0000693,326.74,52.51
HMDB0000694,94.83,12.97
HMDB0000695,54.37,13.0
HMDB0000696,63.32,15.5
HMDB0000697,206.56,73.19
HMDB0000698,86.63,51.32
HMDB0000699,46.97,14.25
HMDB0000700,57.53,8.15
HMDB0000701,66.4,18.75
HMDB0000703,57.53,14.66
HMDB0000704,108.94,15.3
HMDB0000706,129.72,27.38
HMDB0000707,74.6,16.75
HMDB0000708,106.86,52.19
HMDB0000709,155.74,28.47
HMDB0000710,57.53,10.17
HMDB0000711,57.53,18.01
HMDB0000712,103.73,51.48
HMDB0000713,57.53,45.84
HMDB0000714,66.4,17.57
HMDB0000715,66.4,18.05
HMDB0000716,49.33,13.49
HMDB0000717,57.53,45.89
HMDB0000718,37.3,10.99
HMDB0000719,83.55,11.44
HMDB0000720,54.37,11.23
HMDB0000721,83.63,16.75
HMDB0000722,103.7,55.73
HMDB0000725,69.56,12.29
HMDB0000726,103.7,23.33
HMDB0000727,152.89,23.34
HMDB0000728,318.46,82.57
HMDB0000729,57.53,9.87
HMDB0000730,66.4,14.57
HMDB0000731,117.69,16.76
HMDB0000732,126.64,21.79
HMDB0000733,77.76,46.69
HMDB0000734,53.09,19.51
HMDB0000735,86.63,20.13
HMDB0000736,66.43,24.64
HMDB0000737,318.46,82.37
HMDB0000738,15.79,12.82
HMDB0000739,257.16,56.3
HMDB0000740,189.53,31.48
HMDB0000742,63.32,13.54
HMDB0000743,281.16,79.54
HMDB0000745,121.1,24.49
HMDB0000746,57.53,13.65
HMDB0000747,66.4,18.28
HMDB0000748,57.53,16.73
HMDB0000749,74.6,11.24
HMDB0000750,77.76,15.55
HMDB0000751,90.15,13.61
HMDB0000752,74.6,13.88
HMDB0000753,17.07,12.2
HMDB0000754,57.53,11.75
HMDB0000755,77.76,17.51
HMDB0000756,66.43,28.79
HMDB0000757,347.83,61.39
HMDB0000759,92.42,19.4
HMDB0000760,97.99,46.86
HMDB0000761,57.53,45.8
HMDB0000763,73.32,18.71
HMDB0000764,37.3,15.94
HMDB0000765,121.38,17.04
HMDB0000766,66.4,12.5
HMDB0000767,128.12,21.79
HMDB0000768,203.08,34.59
HMDB0000770,148.71,95.72
HMDB0000772,37.3,40.78
HMDB0000773,176.78,28.19
HMDB0000774,80.67,43.84
HMDB0000779,57.53,16.7
HMDB0000780,281.16,79.31
HMDB0000781,162.62,25.95
HMDB0000782,74.6,39.65
HMDB0000783,66.4,12.6
HMDB0000784,74.6,20.5
HMDB0000785,182.85,31.72
HMDB0000786,82.59,12.6
HMDB0000788,156.63,25.0
HMDB0000789,243.86,76.91
HMDB0000791,66.43,33.28
HMDB0000792,74.6,22.61
HMDB0000793,92.78,33.17
HMDB0000794,182.85,31.82
HMDB0000795,37.3,38.82
HMDB0000796,182.85,31.77
HMDB0000797,263.99,38.5
HMDB0000798,26.3,19.56
HMDB0000801,37.3,41.09
HMDB0000802,93.26,14.46
HMDB0000803,119.25,21.08
HMDB0000806,37.3,30.1
HMDB0000807,124.29,13.29
HMDB0000808,66.4,14.64
HMDB0000809,520.35,177.28
HMDB0000810,109.96,70.59
HMDB0000811,77.76,46.58
HMDB0000812,103.7,15.29
HMDB0000814,162.62,26.71
HMDB0000815,318.46,82.6
HMDB0000816,104.06,10.67
HMDB0000817,133.72,22.41
HMDB0000819,75.71,19.07
HMDB0000820,20.23,7.23
HMDB0000821,66.4,19.09
HMDB0000822,77.76,15.64
HMDB0000824,66.43,22.68
HMDB0000825,342.92,58.66
HMDB0000826,37.3,32.23
HMDB0000827,37.3,38.64
HMDB0000828,129.72,14.72
HMDB0000830,173.7,23.67
HMDB0000832,66.4,22.92
HMDB0000833,197.01,28.67
HMDB0000839,57.36,34.75
HMDB0000840,86.63,18.4
HMDB0000841,170.46,26.16
HMDB0000842,50.19,17.27
HMDB0000843,205.99,31.53
HMDB0000845,153.95,23.36
HMDB0000847,37.3,19.49
HMDB0000848,66.43,54.7
HMDB0000849,90.15,15.36
HMDB0000851,237.13,43.12
HMDB0000852,20.23,54.21
HMDB0000853,119.25,21.04
HMDB0000854,110.48,15.61
HMDB0000855,116.89,24.83
HMDB0000856,121.52,21.49
HMDB0000857,74.6,16.31
HMDB0000858,63.6,14.31
HMDB0000859,55.4,19.67
HMDB0000860,66.4,21.47
HMDB0000863,20.23,7.14
HMDB0000865,97.99,47.32
HMDB0000866,86.63,22.25
HMDB0000867,118.22,14.35
HMDB0000868,144.52,18.05
HMDB0000869,267.76,102.6
HMDB0000870,54.7,12.08
HMDB0000871,17.07,50.39
HMDB0000872,74.6,31.11
HMDB0000873,40.46,12.82
HMDB0000874,123.93,56.31
HMDB0000875,44.01,13.4
HMDB0000876,20.23,49.63
HMDB0000877,152.89,23.37
HMDB0000878,20.23,51.06
HMDB0000879,57.53,39.48
HMDB0000881,90.65,19.06
HMDB0000883,63.32,12.19
HMDB0000884,119.33,24.1
HMDB0000885,26.3,85.25
HMDB0000887,121.19,71.81
HMDB0000888,74.6,24.74
HMDB0000889,144.16,57.39
HMDB0000890,355.76,84.95
HMDB0000892,37.3,11.23
HMDB0000893,74.6,18.41
HMDB0000894,66.4,13.8
HMDB0000895,26.3,16.69
HMDB0000896,123.93,56.55
HMDB0000897,85.3,15.41
HMDB0000898,43.84,14.24
HMDB0000899,34.14,33.83
HMDB0000900,20.23,50.72
HMDB0000901,133.52,32.52
HMDB0000902,322.08,58.5
HMDB0000903,94.83,40.47
HMDB0000904,118.44,17.35
HMDB0000905,165.84,28.98
HMDB0000906,3.24,7.64
HMDB0000907,100.9,51.26
HMDB0000908,20.23,51.27
HMDB0000909,57.53,16.85
HMDB0000910,37.3,27.95
HMDB0000912,200.15,34.83
HMDB0000913,86.99,20.58
HMDB0000916,355.76,85.12
HMDB0000917,97.99,47.04
HMDB0000918,26.3,87.32
HMDB0000920,54.37,38.02
HMDB0000921,17.07,49.79
HMDB0000922,144.16,57.62
HMDB0000925,23.06,8.4
HMDB0000926,12.89,8.25
HMDB0000927,66.4,16.67
HMDB0000929,79.11,21.05
HMDB0000930,37.3,15.43
HMDB0000932,144.16,57.48
HMDB0000933,74.6,26.06
HMDB0000934,365.61,55.61
HMDB0000935,308.61,45.33
HMDB0000936,355.76,84.92
HMDB0000937,20.23,53.55
HMDB0000939,182.63,38.41
HMDB0000940,66.76,9.87
HMDB0000941,0.0,49.73
HMDB0000942,152.23,24.37
HMDB0000943,97.99,11.61
HMDB0000944,37.3,47.25
HMDB0000946,77.76,46.42
HMDB0000947,37.3,23.73
HMDB0000949,97.99,40.89
HMDB0000950,69.56,87.82
HMDB0000951,123.93,56.66
HMDB0000953,103.7,23.96
HMDB0000954,66.76,19.18
HMDB0000955,66.76,19.36
HMDB0000956,115.06,11.33
HMDB0000957,40.46,10.69
HMDB0000958,111.9,13.96
HMDB0000959,66.4,15.97
HMDB0000960,228.05,34.99
HMDB0000961,113.29,37.94
HMDB0000962,43.09,22.38
HMDB0000963,116.45,22.38
HMDB0000965,63.32,10.16
HMDB0000968,214.44,25.1
HMDB0000969,86.99,51.11
HMDB0000972,215.55,46.21
HMDB0000975,189.53,31.14
HMDB0000977,66.76,72.35
HMDB0000978,97.46,19.32
HMDB0000980,292.15,37.74
HMDB0000981,17.07,50.94
HMDB0000982,128.61,24.54
HMDB0000985,44.08,23.77
HMDB0000988,145.33,36.97
HMDB0000990,17.07,4.48
HMDB0000991,63.32,18.72
HMDB0000992,67.26,17.56
HMDB0000994,156.91,20.33
HMDB0000995,34.14,36.77
HMDB0000996,100.62,12.95
HMDB0000998,247.97,35.21
HMDB0000999,186.63,26.53
HMDB0001000,192.16,29.83
HMDB0001003,229.44,35.07
HMDB0001004,59.06,19.71
HMDB0001005,112.65,10.8
HMDB0001007,50.19,17.31
HMDB0001008,160.95,64.76
HMDB0001009,7.12,21.01
HMDB0001010,15.9,18.14
HMDB0001011,363.63,75.49
HMDB0001013,134.24,33.72
HMDB0001014,78.76,14.27
HMDB0001015,66.4,17.59
HMDB0001016,153.39,26.26
HMDB0001018,271.31,42.57
HMDB0001020,3.24,14.31
HMDB0001021,421.16,76.26
HMDB0001022,400.93,77.46
HMDB0001023,20.23,52.86
HMDB0001024,121.13,12.69
HMDB0001028,23.47,50.04
HMDB0001030,186.37,30.87
HMDB0001031,116.45,17.46
