name_short,9AA,CHCA,CMBT,ClCCA,DAN,DHAP,DHB,MAPS,NEDC,NOR,PNDI,pNA
Phenylalanine,3.1226056211198427,4.0174909393964695,3.010806903031796,2.891899318366339,3.3533431148267385,2.3770362633450377,3.8040374422892667,2.3698845456059763,0.0,3.711720493880797,2.130128185959443,3.440118507153674
Phosphocreatine,3.488606621266416,0.0,0.0,1.337866498424921,0.0,0.0,2.200488865784322,0.0,0.0,0.0,0.0,0.0
Phosphoserine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proline,2.8448850221755446,4.503749521357636,3.3610472912051814,3.398023777735341,4.39633924390047,3.329153649733512,4.119041104614345,0.0,0.0,3.2424001602374086,0.0,3.6396233298366356
S-Adenosylhomocysteine,4.415567222124578,4.882286342663466,4.3459962745841585,4.507488621632859,4.588543194993111,3.097295182964418,5.34382833692133,0.0,2.2807414050491386,4.4337042129098805,0.0,4.317144900710337
S-Adenosylmethionine,3.0956653149805335,4.668240319759037,3.541869325647121,4.040339468904235,2.7882178807192313,3.5413324121843957,4.561404806520763,0.0,0.0,0.0,0.0,4.45326680274964
Serine,3.6014676006840505,3.6109871807731677,2.6456981120060603,3.195408255776974,3.782941438459674,0.0,2.385200563915704,0.0,1.3509415405556158,2.804030742848178,0.0,3.1095472138062505
Serotonin,0.0,3.6442980838018975,2.799384679803015,2.925337036926467,3.5394825261818057,2.769643751953001,4.049093687302752,0.0,0.0,2.5117904988913327,0.0,0.0
Taurine,5.31997602897959,4.2279016965088,2.5880747334492433,2.7815202679811115,4.109483076979555,3.4015459285761405,3.2541331976204253,0.0,0.0,3.8729592720218764,0.0,3.815165323423203
Tryptophan,2.4733345534029922,3.8576705774844546,2.764817017301189,3.2198794738672705,3.5239550042150665,3.4256919561675496,4.1835348908833385,0.0,0.0,2.9619129683661116,0.0,2.55286407889561
Tyrosine,2.131818765774426,2.724185682675429,0.0,1.546468679059805,2.880775963033878,0.0,3.165800033615989,0.0,0.0,0.0,0.0,3.464035156115276
Ureidosuccinic acid,4.4688236998641875,3.7004893788662674,2.0646490667097472,3.054073556790722,3.3989395935408697,2.8605397478985974,3.6612060882485338,0.0,1.6484433972751187,3.787765896453872,0.0,2.9874649460138967
Urocanic acid,4.5341167954335155,4.1294908047089995,3.169775429866937,3.3129947942871114,4.041192545763116,2.655095435607426,4.024760871465428,0.0,0.0,4.299852590143951,0.0,0.0
Valine,3.1713776789954284,3.790472538920319,0.0,2.992069126530137,3.6112481327992123,2.317850442999914,3.272283293910845,0.0,0.0,0.0,0.0,3.305905055707021
gamma-Aminobutyric acid,2.971589091277522,4.353734650566933,2.8035209918450272,3.337066718145584,3.9330259416104503,2.49756766124114,3.7855367732985186,0.0,0.0,3.1632229891185686,0.0,3.7410520473051463
6-Phosphogluconic acid,5.012308835041252,3.264334433108479,0.0,2.5343209604671393,0.0,0.0,2.9646699436177135,0.0,0.0,3.904329392406726,0.0,1.6167305541740389
Dihydroxyacetone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dihydroxyacetone phosphate,4.29330833634685,2.8879952684815726,0.0,2.3259864493126092,0.0,1.8478875934931647,2.429818888241183,0.0,0.0,3.9062152602330937,0.0,0.0
"Fructose 1,6-bisphosphate",5.577610157677287,3.8669330795144408,0.0,2.9996373223737782,0.0,1.8948061289240636,3.8114448964197782,0.0,0.0,5.470872623820262,0.0,0.0
Gluconic acid,4.714115980594938,3.393384501742207,2.7959123068070153,2.8059005404672432,3.956881909727762,2.7009217094002644,3.51550539912528,0.0,0.0,3.8202175563352943,0.0,2.814735303590034
Glucosamine,0.0,3.790254041530395,3.047997893280208,3.065420428651913,3.383773545535928,2.9626682215792686,3.3610129876777766,0.0,1.8213241792822898,2.479377291819459,0.0,2.4557198813121004
Glucosamine 6-phosphate,4.868475789298719,3.432515575194679,2.900867311639881,2.850478675451335,3.8101702936596893,2.5732860627043896,3.419402694842914,0.0,0.0,4.6751875765330135,0.0,3.297382042707064
Glucose,3.5630380761253044,3.4450513635926985,0.0,2.7794181847103228,3.583551214542195,3.0726920041953605,3.0099260819610874,0.0,0.0,3.5276331612894833,0.0,3.3683595761807332
Glucose 6-phosphate,5.087413863450058,3.5543289502956315,0.0,2.5830352647708263,3.0416965454893368,0.0,0.0,0.0,0.0,4.740191180987268,0.0,2.8012123196237013
Glycerol 3-phosphate,4.724261056382808,3.2329764422481566,0.0,2.8779603599048182,2.7799113488088225,0.0,0.0,0.0,1.153833820503997,3.211554885564236,0.0,0.0
Myo-inositol 1-phosphate,5.187259868417889,3.0837455776040197,0.0,2.5697068682569966,2.1405904003400056,1.5677971253322887,2.0558591151050227,0.0,0.0,3.566421758310789,0.0,2.352566071992955
N-Acetylgalactosamine 6-phosphate,4.488955451051042,2.971223488969371,1.4406301786183189,3.177025588392859,2.2382265865239552,1.8757161371455062,3.3099835214631366,0.0,0.0,4.103260307842667,0.0,1.587441214688527
N-Acetylglucosamine,3.7414572550744887,4.0988712572751815,3.4503328451586843,3.6549008240964946,3.7183692487169893,2.5397444667657143,3.97724155899443,0.0,1.15237892509503,3.942059729055399,0.0,3.9057716250181063
Ribose 5-phosphate,4.992236764337992,3.3396825914058055,0.0,2.5967389515159494,2.2207687071214846,1.8532465296854916,3.1760076999976614,0.0,0.0,4.419084424653432,0.0,1.8642650891876584
Ribulose,2.514232555669227,0.0,0.0,0.0,2.860002829554056,0.0,3.449830505493169,0.0,0.0,2.6737609005670833,0.0,2.251817837666885
Ribulose 5-phosphate,4.866126392151314,3.4279359388671393,1.3887162414612038,2.878988787177604,3.540062032267266,2.248581833507929,3.214798366559963,0.0,0.0,4.937509269380902,0.0,2.6762458727292735
myo-Inositol,2.8644638578656383,3.6087387885331332,2.8881910674592306,3.29294241199349,3.5404979083334114,2.812487204965509,3.2079516122496705,0.0,0.0,2.7415226162929645,0.0,2.824219096292642
2-Oxoglutaric acid,4.814306627793246,3.1939075264966372,2.9444915060048995,2.1596256265723754,3.835350954417964,3.196035740911949,3.0576762652170113,2.590950985182533,0.0,4.565696544556646,1.68230404781184,3.7901349791674126
3-Hydroxymethylglutaric acid,0.0,0.0,3.5293325660113735,3.8623228347239578,0.0,3.5794318058187464,0.0,3.6910625481559993,2.596322336711969,0.0,0.0,0.0
3-Phosphoglyceric acid,5.164587787189345,3.5113831707001135,0.0,2.8304274038744213,2.5327275053940004,1.9486052501253226,3.027841971841041,0.0,1.7430265197437271,4.767885572702078,0.0,2.154635681911425
Acetoacetic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ascorbic acid,3.9789439936786417,3.3913699464836085,0.0,2.5202205759439518,3.9063397834559312,2.7367158502625806,3.507498661936419,0.0,0.0,4.011976405829317,0.0,3.2897269863101646
Butyric acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citric acid,5.206625379926532,4.548555395017694,3.1163934541263405,2.963528172872651,3.9526126844296186,3.136521927428442,3.7922208167669877,0.0,0.0,5.032941401140774,0.0,4.470798380698967
Fumaric acid,0.0,2.7932811308030607,3.3287117687488834,1.7196571342163356,4.313311748122492,0.0,3.087780044670407,3.077743670885945,2.162885677527172,4.611974839254772,2.529863854903606,3.949922642173372
Kynurenic acid,4.478279984472924,0.0,2.5052287820466783,2.889853046475071,2.5070952986505977,2.545497026187915,3.214103248786032,2.3408382119069118,2.4421201906083314,0.0,0.0,3.7193925853128142
Lactic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malic acid,5.375443979142473,4.24987230453864,3.7993823982594486,2.8147442417862147,4.677357983827275,3.0018109692612125,3.584996316368755,2.907553488334507,2.053993801084548,4.972620503267011,2.9743747048793394,3.967246302433409
Malonic acid,4.851807597865303,3.1820815718193756,0.0,2.7639126053840872,0.0,2.451855387727123,3.202027518918831,0.0,2.376251168772741,3.9466970861046757,0.0,2.558938074105795
Mevalonic acid,4.2864567890678344,3.7594598894551163,0.0,0.0,3.428863024883955,2.484264823832584,3.669329623713813,0.0,0.0,3.397640346350774,0.0,2.5507221525365145
Oxalacetic acid,0.0,1.5790882261907428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
