row_id,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_tic_norm,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio
2021-04-26_16h00m28s_C42H81NO12S_+Na__36,67.05533893221354,180793.3118642837,0.6730769230769231,0.6730769230769231,0.000989010989010989,0.0,3.76335992774349e-05,3.76335992774349e-05,67.3076923076923,1,1315.6595,0.0017468426,1315.6595,68414.3,1069.5192,0.0,0.006277147,0.0,1315659.5458984375,1315659.5458984375
2021-04-26_16h00m28s_C42H81NO12S_+H__36,63.46153846153846,322190.4296875,0.6346153846153846,0.6346153846153846,0.0009340659340659341,0.00010229132569558102,0.0,0.0,63.46153846153846,2,322.19043,0.00042994367,322.19043,16753.902,287.4521,0.010539845,0.0,0.0,322190.4296875,27919.82387613025
2021-04-26_16h00m28s_C42H81NO12S_+K__36,9.615384615384617,11554.436683654785,0.09615384615384616,0.09615384615384616,0.0003846153846153846,0.0009206219312602291,0.0,0.0,9.615384615384617,2,11.554437,1.5154691e-05,11.554437,600.8307,35.544884,0.20604694,0.0,0.0,11554.436683654785,55.80588027649419
2021-02-16_06h28m34s_C15H24N2O17P2_+K__163,0.0,0.0,0.0,0.0,5.086599354001882e-05,0.00020458265139116204,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.09979383,0.0,0.0,0.0,0.0
2021-02-16_06h28m34s_C15H24N2O17P2_+Na__163,3.8461538461538463,55453.819274902344,0.038461538461538464,0.038461538461538464,7.629899031002823e-05,0.00010229132569558102,0.0,0.0,3.8461538461538463,2,55.45382,6.5548634e-06,55.45382,2883.5986,277.28323,0.029788762,0.0,0.0,55453.819274902344,1801.1058281174237
2021-02-19_12h11m04s_C15H24N2O17P2_+Na__163,20.670550605437516,1517.0265041385187,0.21153846153846154,0.21153846153846154,0.0006480698788391096,0.0006137479541734861,0.00023380874444704232,0.00023380874444704232,20.66271479555541,7,78.83664,1.7517603e-05,78.78483,4099.5054,165.3839,0.13678597,0.050967872,0.05181387,1492.72602834335,572.1673977214223
2021-02-19_12h11m04s_C15H24N2O17P2_+H__163,0.0,0.0,0.0,0.0,0.00011270780501549733,0.0004091653027823241,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.10386422,0.0,0.0,0.0,0.0
2021-02-19_12h11m04s_C15H24N2O17P2_+K__163,1.715805576802726,19.65500539584214,0.019230769230769232,0.019230769230769232,0.0010707241476472246,0.0006137479541734861,0.0012080118463097186,0.0012080118463097186,1.7127414447740454,7,5.237846,8.332197e-07,4.96795,272.36798,37.405704,0.13543485,0.26548916,0.26989594,19.335269026072503,38.390820654324976
2021-03-05_15h01m51s_C15H24N2O17P2_+Na__163,3.7926923477884316,510.5478086152544,0.038461538461538464,0.038461538461538464,0.00018322209134929982,0.00010229132569558102,0.00014095922754343306,0.00014095922754343306,3.8052169926149917,2,15.617493,2.3252594e-06,15.597729,812.1096,78.10056,0.030841019,0.029589677,0.019763762,752.1513961197728,490.4834444379179
2021-03-05_15h01m51s_C15H24N2O17P2_+H__163,0.0,0.0,0.0,0.0,0.00018322209134929982,0.0004091653027823241,0.0001057194206575748,0.0001057194206575748,0.0,4,0.0,0.0,-0.025845934,0.0,0.0,0.093922466,0.025398728,0.025845934,0.0,0.0
2021-03-08_10h38m53s_C15H24N2O17P2_+Na__163,0.0,0.0,0.0,0.0,2.7448397013614406e-05,0.0,3.7588332581566684e-05,3.7588332581566684e-05,0.0,0,0.0,0.0,-0.026923005,0.0,0.0,0.0,0.026446356,0.026923005,0.0,0.0
2021-03-08_10h38m53s_C15H24N2O17P2_+H__163,0.0,0.0,0.0,0.0,2.7448397013614406e-05,0.0,3.7588332581566684e-05,3.7588332581566684e-05,0.0,0,0.0,0.0,-0.007887023,0.0,0.0,0.0,0.0077473903,0.007887023,0.0,0.0
2021-03-24_21h05m49s_C15H24N2O17P2_+Na__163,52.59595688432651,2437.2492465433024,0.5576923076923077,0.5576923076923077,0.0015568240788790867,0.001023331968890708,0.000603330383718124,0.000603330383718124,53.79089693562912,8,353.78958,8.331842e-05,353.72726,18397.059,384.76083,1.039836,0.14415938,0.06232458,5586.923472489196,339.9090390956195
2021-03-24_21h05m49s_C15H24N2O17P2_+H__163,0.0,0.0,0.0,0.0,0.0018451248342270658,0.0025583299222267705,0.0015686589976671224,0.0015686589976671224,0.0,19,0.0,0.0,-0.25172952,0.0,0.0,0.6632027,0.24777064,0.25172952,0.0,0.0
2021-03-24_21h05m49s_C15H24N2O17P2_+K__163,0.0,0.0,0.0,0.0,0.0005189413596263622,0.001637331150225133,8.044405116241654e-05,8.044405116241654e-05,0.0,9,0.0,0.0,-0.0066040102,0.0,0.0,0.40479282,0.0130003,0.0066040102,0.0,0.0
2021-04-11_21h56m24s_C15H24N2O17P2_+K__163,0.0,0.0,0.0,0.0,0.0001377410468319559,0.00020483408439164277,0.00011327594019030358,0.00011327594019030358,0.0,2,0.0,0.0,-0.018949486,0.0,0.0,0.033883564,0.018618923,0.018949486,0.0,0.0
2021-04-11_21h56m24s_C15H24N2O17P2_+H__163,0.0,0.0,0.0,0.0,0.008429752066115702,0.008603031544448997,0.008382419574082464,0.008382419574082464,0.0,68,0.0,0.0,-1.464495,0.0,0.0,1.500116,1.4389476,1.464495,0.0,0.0
2021-04-11_21h56m24s_C15H24N2O17P2_+Na__163,0.0,0.0,0.0,0.0,0.0003581267217630854,0.00010241704219582139,0.00045310376076121433,0.00045310376076121433,0.0,1,0.0,0.0,-0.07655387,0.0,0.0,0.018078027,0.075218424,0.07655387,0.0,0.0
2021-04-26_16h00m28s_C15H24N2O17P2_+Na__163,6.3336638572136845,43.736250231219394,0.07692307692307693,0.07692307692307693,0.0027472527472527475,0.003989361702127659,0.002145115158813789,0.002145115158813789,6.331869242430131,31,10.416597,1.4291764e-05,10.1788025,541.6631,36.486702,0.9483195,0.2371685,0.23779449,43.62159874131814,10.972699311687968
